% of KG completeness,avg_em,avg_hits,avg_f1,avg_precision,avg_recall
10,0.3493975903614458,0.30522088353413657,0.1569274812316102,0.2722780008924587,0.15884529975289657
100,0.8393574297188755,0.7469879518072289,0.6941352855847631,0.681389560342869,0.8050579881521411
20,0.4497991967871486,0.3895582329317269,0.23817263788405102,0.3631593038821954,0.23310540386505005
30,0.5341365461847389,0.46586345381526106,0.3137281211897721,0.42434181169120927,0.31869464732224967
40,0.5983935742971888,0.5220883534136547,0.3838260091333372,0.4772522839897602,0.40385752816991904
50,0.6706827309236948,0.6104417670682731,0.4723922794632542,0.5503074792231418,0.4884017063697253
60,0.7309236947791165,0.6827309236947792,0.5403514262348315,0.6035819765050683,0.5705891271472299
70,0.7630522088353414,0.6947791164658634,0.5932581298097225,0.6378043326045937,0.6337963372558609
80,0.7670682730923695,0.6947791164658634,0.6249768826061225,0.6482398584755291,0.6753738379543962
90,0.8032128514056225,0.7188755020080321,0.65735489792943,0.6579689407966809,0.743712918190494
